"Vaccine/Exemption","Dose","Geography Type","Geography","School Year","Estimate (%)","Population Size","Percent Surveyed","Footnotes","Number of Exemptions","Survey Type"
"Hepatitis B","","States","Oklahoma","2015-16","96.4","54335","96.1","‡",,"Census"
"Hepatitis B","","States","Oklahoma","2014-15","92.5","56967","95.9","‡",,"Census"
"Hepatitis B","","States","Oklahoma","2013-14","97.7","57377","71.3",,,"Voluntary response"
"Hepatitis B","","States","Oklahoma","2012-13","92.7","56943","95.5",,,"Census"
"Hepatitis B","","States","Oklahoma","2016-17","NA","52184","0","‡.¶",,"Census"
"Varicella","2 Doses (unknown disease history)","States","Oklahoma","2015-16","NReq","54335","96.1","‡",,"Census"
"Varicella","2 Doses (unknown disease history)","States","Oklahoma","2019-20","NReq","55348","85.6","§",,"Voluntary response"
"Varicella","2 Doses (unknown disease history)","States","Oklahoma","2020-21","NReq","52656","90","‡.§",,"Census (public). voluntary response (private)"
"Hepatitis B","","States","Oklahoma","2009-10","99.5","51128","88.9",,,"Voluntary response"
"Varicella","2 Doses (unknown disease history)","States","Oklahoma","2021-22","NReq","54042","84.3","‡",,"Vol. response"
"Hepatitis B","","States","Oklahoma","2010-11","NA",,,,,"NA"
"Hepatitis B","","States","Oklahoma","2011-12","97.7","52987","90.9","¶",,"Census"
"Varicella","2 Doses (unknown disease history)","States","Oklahoma","2011-12","NReq","52987","90.9","¶",,"Census"
"Varicella","2 Doses (unknown disease history)","States","Oklahoma","2010-11","NA",,,,,"NA"
"Varicella","2 Doses (unknown disease history)","States","Oklahoma","2009-10","NReq","51128","88.9",,,"Voluntary response"
"Varicella","1 Dose (unknown disease history)","States","Oklahoma","2021-22","95.5","54042","84.3","‡",,"Vol. response"
"Varicella","2 Doses (unknown disease history)","States","Oklahoma","2014-15","NReq","56967","95.9","‡",,"Census"
"Varicella","2 Doses (unknown disease history)","States","Oklahoma","2013-14","NReq","57377","71.3",,,"Voluntary response"
"Varicella","2 Doses (unknown disease history)","States","Oklahoma","2012-13","NReq","56943","95.5",,,"Census"
"Varicella","1 Dose (unknown disease history)","States","Oklahoma","2018-19","95.8","54806","92.1","§",,"Census (public). voluntary response (private)"
"Varicella","1 Dose (unknown disease history)","States","Oklahoma","2017-18","96.8","53898","92.1","§",,"Census (public). voluntary response (private)"
"Varicella","1 Dose (unknown disease history)","States","Oklahoma","2019-20","96.9","55348","85.6","§",,"Voluntary response"
