Pinus,Abies,Quercus,Alnus
75,2,14,9
81,2,13,4
89,3,1,7
84,5,7,4
81,3,10,6
86,1,8,5
86,2,11,1
82,2,10,6
72,1,16,11
93,4,2,1
87,1,11,1
95,1,3,1
85,1,12,2
91,1,4,4
79,1,19,1
95,2,1,2
90,3,5,2
90,2,7,1
88,1,9,2
86,1,10,3
84,1,12,3
81,1,15,3
81,1,16,2
76,2,18,4
87,3,7,3
91,1,5,3
93,4,2,1
89,1,6,4
87,3,8,2
94,1,3,2
81,2,9,8
69,7,18,6
86,1,8,5
74,5,16,5
82,2,11,5
87,3,9,1
68,3,26,3
77,3,11,9
86,2,7,5
79,1,11,9
79,1,17,3
85,3,9,3
94,0,5,1
95,2,3,0
97,0,2,1
89,0,9,2
85,0,12,3
91,0,7,2
94,3,3,0
99,1,0,0
90,2,8,0
91,0,8,1
89,0,7,4
93,1,6,0
89,2,9,0
99,0,1,0
88,0,7,5
91,0,7,2
84,0,14,2
97,0,3,0
83,0,13,4
94,0,5,1
88,1,11,0
84,0,8,8
87,1,12,0
73,0,13,14
88,0,9,3
94,0,4,2
90,0,8,2
90,0,7,3
87,0,11,2
74,0,19,7
80,0,14,6
