,Entity,Code,Year,Share_x,Share_y
43,Afghanistan,AFG,2024,0.59,0.55
177,Albania,ALB,2024,0.97,0.81
217,Algeria,DZA,2024,0.92,0.94
290,Andorra,AND,2024,0.98,0.98
332,Angola,AGO,2024,0.64,0.53
374,Antigua and Barbuda,ATG,2024,0.99,0.97
419,Argentina,ARG,2024,0.75,0.82
452,Armenia,ARM,2024,0.94,0.96
538,Australia,AUS,2024,0.93,0.91
582,Austria,AUT,2024,0.85,0.9
615,Azerbaijan,AZE,2024,0.51,0.71
658,Bahamas,BHS,2024,0.9,0.86
703,Bahrain,BHR,2024,0.96,0.99
746,Bangladesh,BGD,2024,0.97,0.96
791,Barbados,BRB,2024,0.94,0.88
824,Belarus,BLR,2024,0.98,0.98
868,Belgium,BEL,2024,0.97,0.96
913,Belize,BLZ,2024,0.88,0.84
953,Benin,BEN,2024,0.63,0.44
998,Bhutan,BTN,2024,0.98,0.97
1043,Bolivia,BOL,2024,0.59,0.67
1076,Bosnia and Herzegovina,BIH,2024,0.79,0.69
1121,Botswana,BWA,2024,0.95,0.97
1166,Brazil,BRA,2024,0.91,0.93
1211,Brunei,BRN,2024,0.99,0.99
1256,Bulgaria,BGR,2024,0.94,0.94
1296,Burkina Faso,BFA,2024,0.91,0.88
1340,Burundi,BDI,2024,0.89,0.86
1381,Cambodia,KHM,2024,0.83,0.83
1425,Cameroon,CMR,2024,0.77,0.71
1463,Canada,CAN,2024,0.92,0.92
1503,Cape Verde,CPV,2024,0.93,0.95
1548,Central African Republic,CAF,2024,0.42,0.41
1589,Chad,TCD,2024,0.68,0.66
1634,Chile,CHL,2024,0.95,0.93
1676,China,CHN,2024,0.97,0.95
1721,Colombia,COL,2024,0.89,0.93
1762,Comoros,COM,2024,0.75,0.7
1807,Congo,COG,2024,0.78,0.72
1849,Cook Islands,COK,2024,0.75,0.99
1894,Costa Rica,CRI,2024,0.99,0.93
1935,Cote d'Ivoire,CIV,2024,0.77,0.75
1968,Croatia,HRV,2024,0.92,0.9
2013,Cuba,CUB,2024,0.99,0.99
2058,Cyprus,CYP,2024,0.94,0.99
2090,Czechia,CZE,2024,0.86,0.89
2134,Democratic Republic of Congo,COD,2024,0.65,0.55
2172,Denmark,DNK,2024,0.96,0.94
2215,Djibouti,DJI,2024,0.77,0.75
2258,Dominica,DMA,2024,0.9,0.8
2303,Dominican Republic,DOM,2024,0.87,0.89
2371,East Timor,TLS,2024,0.83,0.72
