Geography,DTP,MMR,DTP23,Hepatite
Alaska,0.8220000000000001,0.812,0.78,0.841
Arizona,0.887,0.8859999999999999,0.905,0.9229999999999999
Arkansas,0.885,0.8959999999999999,0.9129999999999999,0.92
California,0.951,0.961,0.9570000000000001,0.972
Colorado,0.8740000000000001,0.88,0.8909999999999999,0.9129999999999999
Connecticut,0.982,0.982,0.96,0.987
Delaware,0.948,0.941,0.9640000000000001,0.9570000000000001
District of Columbia,0.903,0.927,0.8220000000000001,0.941
Florida,0.888,0.888,0.917,0.888
Georgia,0.868,0.868,0.8320000000000001,0.868
Hawaii,0.915,0.899,0.925,0.9259999999999999
Idaho,0.7829999999999999,0.785,0.835,0.84
Indiana,0.8170000000000001,0.9079999999999999,0.84,0.932
Iowa,0.888,0.888,0.9059999999999999,0.888
Kansas,0.9079999999999999,0.91,0.9,0.9640000000000001
Kentucky,0.862,0.8690000000000001,0.871,0.878
Louisiana,0.953,0.9259999999999999,0.9620000000000001,0.971
Maryland,0.966,0.9640000000000001,0.8859999999999999,0.968
Massachusetts,0.963,0.966,0.961,0.975
Michigan,0.9159999999999999,0.9159999999999999,0.941,0.924
Minnesota,0.87,0.865,0.89,0.9229999999999999
Mississippi,0.976,0.976,0.986,0.976
Missouri,0.9,0.9,0.915,0.927
NY-City of New York,0.9590000000000001,0.971,0.965,0.981
Nebraska,0.951,0.9420000000000001,0.966,0.9590000000000001
Nevada,0.903,0.9129999999999999,0.915,0.929
New Hampshire,0.892,0.892,0.887,0.892
New Jersey,0.9279999999999999,0.9279999999999999,0.941,0.9279999999999999
New Mexico,0.945,0.948,0.94,0.963
New York,0.972,0.978,0.973,0.9840000000000001
North Carolina,0.94,0.9420000000000001,0.96,0.9520000000000001
North Dakota,0.897,0.9,0.914,0.927
Ohio,0.888,0.883,0.885,0.9229999999999999
Oklahoma,0.895,0.887,0.9109999999999999,0.9359999999999999
Oregon,0.8959999999999999,0.905,0.92,0.925
Pennsylvania,0.927,0.924,0.9540000000000001,0.9390000000000001
Rhode Island,0.9670000000000001,0.9670000000000001,0.97,0.9790000000000001
South Carolina,0.9179999999999999,0.912,0.91,0.92
TX-City of Houston,0.883,0.887,0.883,0.93
TX-City of San Antonio,0.943,0.9470000000000001,0.9520000000000001,0.96
Tennessee,0.94,0.9440000000000001,0.937,0.9540000000000001
Texas,0.929,0.932,0.92,0.9470000000000001
U.S. Median,0.912,0.9129999999999999,0.927,0.929
United States,0.9209999999999999,0.925,0.8959999999999999,0.94
Utah,0.8809999999999999,0.8859999999999999,0.929,0.902
Vermont,0.9329999999999999,0.935,0.983,0.9520000000000001
Virginia,0.982,0.956,0.914,0.951
Washington,0.897,0.909,0.965,0.927
Wisconsin,0.857,0.848,0.826,0.9229999999999999
Wyoming,0.925,0.9359999999999999,0.925,0.9390000000000001
